,ENTRY NUMBER,NAME,TYPES,TOTAL RATING,HP,ATTACK,DEFENSE,SPECIAL ATTACK,SPECIAL DEFENSE,SPEED
40,029,Nidoran♀,['Poison'],275,55,47,52,40,40,41
41,030,Nidorina,['Poison'],365,70,62,67,55,55,56
42,031,Nidoqueen,"['Poison', 'Ground']",505,90,92,87,75,85,76
43,032,Nidoran♂,['Poison'],273,46,57,40,40,40,50
44,033,Nidorino,['Poison'],365,61,72,57,55,55,65
45,034,Nidoking,"['Poison', 'Ground']",505,81,102,77,85,75,85
46,035,Clefairy,['Fairy'],323,70,45,48,60,65,35
47,036,Clefable,['Fairy'],483,95,70,73,95,90,60
48,037,Vulpix,['Fire'],299,38,41,40,50,65,65
49,037,Vulpix,['Ice'],299,38,41,40,50,65,65
50,038,Ninetales,['Fire'],505,73,76,75,81,100,100
51,038,Ninetales,"['Ice', 'Fairy']",505,73,67,75,81,100,109
52,039,Jigglypuff,"['Normal', 'Fairy']",270,115,45,20,45,25,20
53,040,Wigglytuff,"['Normal', 'Fairy']",435,140,70,45,85,50,45
54,041,Zubat,"['Poison', 'Flying']",245,40,45,35,30,40,55
55,042,Golbat,"['Poison', 'Flying']",455,75,80,70,65,75,90
56,043,Oddish,"['Grass', 'Poison']",320,45,50,55,75,65,30
57,044,Gloom,"['Grass', 'Poison']",395,60,65,70,85,75,40
58,045,Vileplume,"['Grass', 'Poison']",490,75,80,85,110,90,50
59,046,Paras,"['Bug', 'Grass']",285,35,70,55,45,55,25
60,047,Parasect,"['Bug', 'Grass']",405,60,95,80,60,80,30
61,048,Venonat,"['Bug', 'Poison']",305,60,55,50,40,55,45
62,049,Venomoth,"['Bug', 'Poison']",450,70,65,60,90,75,90
63,050,Diglett,['Ground'],265,10,55,25,35,45,95
64,050,Diglett,"['Ground', 'Steel']",265,10,55,30,35,45,90
65,051,Dugtrio,['Ground'],425,35,100,50,50,70,120
66,051,Dugtrio,"['Ground', 'Steel']",425,35,100,60,50,70,110
67,052,Meowth,['Normal'],290,40,45,35,40,40,90
68,052,Meowth,['Dark'],290,40,35,35,50,40,90
69,052,Meowth,['Steel'],290,50,65,55,40,40,40
70,053,Persian,['Normal'],440,65,70,60,65,65,115
71,053,Persian,['Dark'],440,65,60,60,75,65,115
72,054,Psyduck,['Water'],320,50,52,48,65,50,55
73,055,Golduck,['Water'],500,80,82,78,95,80,85
74,056,Mankey,['Fighting'],305,40,80,35,35,45,70
75,057,Primeape,['Fighting'],455,65,105,60,60,70,95
76,058,Growlithe,['Fire'],350,55,70,45,70,50,60
77,059,Arcanine,['Fire'],555,90,110,80,100,80,95
78,060,Poliwag,['Water'],300,40,50,40,40,40,90
79,061,Poliwhirl,['Water'],385,65,65,65,50,50,90
80,062,Poliwrath,"['Water', 'Fighting']",510,90,95,95,70,90,70
81,063,Abra,['Psychic'],310,25,20,15,105,55,90
82,064,Kadabra,['Psychic'],400,40,35,30,120,70,105
83,065,Alakazam,['Psychic'],500,55,50,45,135,95,120
84,065,Alakazam,['Psychic'],600,55,50,65,175,105,150
85,066,Machop,['Fighting'],305,70,80,50,35,35,35
86,067,Machoke,['Fighting'],405,80,100,70,50,60,45
87,068,Machamp,['Fighting'],505,90,130,80,65,85,55
88,069,Bellsprout,"['Grass', 'Poison']",300,50,75,35,70,30,40
89,070,Weepinbell,"['Grass', 'Poison']",390,65,90,50,85,45,55
90,071,Victreebel,"['Grass', 'Poison']",490,80,105,65,100,70,70
91,072,Tentacool,"['Water', 'Poison']",335,40,40,35,50,100,70
92,073,Tentacruel,"['Water', 'Poison']",515,80,70,65,80,120,100
93,074,Geodude,"['Rock', 'Ground']",300,40,80,100,30,30,20
94,074,Geodude,"['Rock', 'Electric']",300,40,80,100,30,30,20
95,075,Graveler,"['Rock', 'Ground']",390,55,95,115,45,45,35
96,075,Graveler,"['Rock', 'Electric']",390,55,95,115,45,45,35
97,076,Golem,"['Rock', 'Ground']",495,80,120,130,55,65,45
98,076,Golem,"['Rock', 'Electric']",495,80,120,130,55,65,45
99,077,Ponyta,['Fire'],410,50,85,55,65,65,90
100,077,Ponyta,['Psychic'],410,50,85,55,65,65,90
101,078,Rapidash,['Fire'],500,65,100,70,80,80,105
102,078,Rapidash,"['Psychic', 'Fairy']",500,65,100,70,80,80,105
103,079,Slowpoke,"['Water', 'Psychic']",315,90,65,65,40,40,15
104,079,Slowpoke,['Psychic'],315,90,65,65,40,40,15
105,080,Slowbro,"['Water', 'Psychic']",490,95,75,110,100,80,30
106,080,Slowbro,"['Water', 'Psychic']",590,95,75,180,130,80,30
107,080,Slowbro,"['Poison', 'Psychic']",490,95,100,95,100,70,30
108,081,Magnemite,"['Electric', 'Steel']",325,25,35,70,95,55,45
109,082,Magneton,"['Electric', 'Steel']",465,50,60,95,120,70,70
110,083,Farfetch'd,"['Normal', 'Flying']",377,52,90,55,58,62,60
111,083,Farfetch'd,['Fighting'],377,52,95,55,58,62,55
112,084,Doduo,"['Normal', 'Flying']",310,35,85,45,35,35,75
113,085,Dodrio,"['Normal', 'Flying']",470,60,110,70,60,60,110
114,086,Seel,['Water'],325,65,45,55,45,70,45
115,087,Dewgong,"['Water', 'Ice']",475,90,70,80,70,95,70
116,088,Grimer,['Poison'],325,80,80,50,40,50,25
117,088,Grimer,"['Poison', 'Dark']",325,80,80,50,40,50,25
118,089,Muk,['Poison'],500,105,105,75,65,100,50
119,089,Muk,"['Poison', 'Dark']",500,105,105,75,65,100,50
120,090,Shellder,['Water'],305,30,65,100,45,25,40
121,091,Cloyster,"['Water', 'Ice']",525,50,95,180,85,45,70
122,092,Gastly,"['Ghost', 'Poison']",310,30,35,30,100,35,80
123,093,Haunter,"['Ghost', 'Poison']",405,45,50,45,115,55,95
124,094,Gengar,"['Ghost', 'Poison']",500,60,65,60,130,75,110
125,094,Gengar,"['Ghost', 'Poison']",600,60,65,80,170,95,130
126,095,Onix,"['Rock', 'Ground']",385,35,45,160,30,45,70
127,096,Drowzee,['Psychic'],328,60,48,45,43,90,42
128,097,Hypno,['Psychic'],483,85,73,70,73,115,67
129,098,Krabby,['Water'],325,30,105,90,25,25,50
130,099,Kingler,['Water'],475,55,130,115,50,50,75
131,100,Voltorb,['Electric'],330,40,30,50,55,55,100
132,101,Electrode,['Electric'],490,60,50,70,80,80,150
133,102,Exeggcute,"['Grass', 'Psychic']",325,60,40,80,60,45,40
134,103,Exeggutor,"['Grass', 'Psychic']",530,95,95,85,125,75,55
135,103,Exeggutor,"['Grass', 'Dragon']",530,95,105,85,125,75,45
136,104,Cubone,['Ground'],320,50,50,95,40,50,35
137,105,Marowak,['Ground'],425,60,80,110,50,80,45
138,105,Marowak,"['Fire', 'Ghost']",425,60,80,110,50,80,45
139,106,Hitmonlee,['Fighting'],455,50,120,53,35,110,87
140,107,Hitmonchan,['Fighting'],455,50,105,79,35,110,76
141,108,Lickitung,['Normal'],385,90,55,75,60,75,30
142,109,Koffing,['Poison'],340,40,65,95,60,45,35
143,110,Weezing,['Poison'],490,65,90,120,85,70,60
144,110,Weezing,"['Poison', 'Fairy']",490,65,90,120,85,70,60
145,111,Rhyhorn,"['Ground', 'Rock']",345,80,85,95,30,30,25
146,112,Rhydon,"['Ground', 'Rock']",485,105,130,120,45,45,40
147,113,Chansey,['Normal'],450,250,5,5,35,105,50
148,114,Tangela,['Grass'],435,65,55,115,100,40,60
149,115,Kangaskhan,['Normal'],490,105,95,80,40,80,90
150,115,Kangaskhan,['Normal'],590,105,125,100,60,100,100
151,116,Horsea,['Water'],295,30,40,70,70,25,60
152,117,Seadra,['Water'],440,55,65,95,95,45,85
153,118,Goldeen,['Water'],320,45,67,60,35,50,63
154,119,Seaking,['Water'],450,80,92,65,65,80,68
155,120,Staryu,['Water'],340,30,45,55,70,55,85
156,121,Starmie,"['Water', 'Psychic']",520,60,75,85,100,85,115
157,122,Mr. Mime,"['Psychic', 'Fairy']",460,40,45,65,100,120,90
158,122,Mr. Mime,"['Ice', 'Psychic']",460,50,65,65,90,90,100
159,123,Scyther,"['Bug', 'Flying']",500,70,110,80,55,80,105
160,124,Jynx,"['Ice', 'Psychic']",455,65,50,35,115,95,95
161,125,Electabuzz,['Electric'],490,65,83,57,95,85,105
162,126,Magmar,['Fire'],495,65,95,57,100,85,93
163,127,Pinsir,['Bug'],500,65,125,100,55,70,85
164,127,Pinsir,"['Bug', 'Flying']",600,65,155,120,65,90,105
165,128,Tauros,['Normal'],490,75,100,95,40,70,110
166,129,Magikarp,['Water'],200,20,10,55,15,20,80
167,130,Gyarados,"['Water', 'Flying']",540,95,125,79,60,100,81
168,130,Gyarados,"['Water', 'Dark']",640,95,155,109,70,130,81
169,131,Lapras,"['Water', 'Ice']",535,130,85,80,85,95,60
170,132,Ditto,['Normal'],288,48,48,48,48,48,48
171,133,Eevee,['Normal'],325,55,55,50,45,65,55
172,133,Eevee,['Normal'],435,65,75,70,65,85,75
173,134,Vaporeon,['Water'],525,130,65,60,110,95,65
174,135,Jolteon,['Electric'],525,65,65,60,110,95,130
175,136,Flareon,['Fire'],525,65,130,60,95,110,65
176,137,Porygon,['Normal'],395,65,60,70,85,75,40
177,138,Omanyte,"['Rock', 'Water']",355,35,40,100,90,55,35
178,139,Omastar,"['Rock', 'Water']",495,70,60,125,115,70,55
179,140,Kabuto,"['Rock', 'Water']",355,30,80,90,55,45,55
180,141,Kabutops,"['Rock', 'Water']",495,60,115,105,65,70,80
181,142,Aerodactyl,"['Rock', 'Flying']",515,80,105,65,60,75,130
182,142,Aerodactyl,"['Rock', 'Flying']",615,80,135,85,70,95,150
183,143,Snorlax,['Normal'],540,160,110,65,65,110,30
184,144,Articuno,"['Ice', 'Flying']",580,90,85,100,95,125,85
185,144,Articuno,"['Psychic', 'Flying']",580,90,85,85,125,100,95
186,145,Zapdos,"['Electric', 'Flying']",580,90,90,85,125,90,100
187,145,Zapdos,"['Fighting', 'Flying']",580,90,125,90,85,90,100
188,146,Moltres,"['Fire', 'Flying']",580,90,100,90,125,85,90
189,146,Moltres,"['Dark', 'Flying']",580,90,85,90,100,125,90
190,147,Dratini,['Dragon'],300,41,64,45,50,50,50
191,148,Dragonair,['Dragon'],420,61,84,65,70,70,70
192,149,Dragonite,"['Dragon', 'Flying']",600,91,134,95,100,100,80
193,150,Mewtwo,['Psychic'],680,106,110,90,154,90,130
194,150,Mewtwo,"['Psychic', 'Fighting']",780,106,190,100,154,100,130
195,150,Mewtwo,['Psychic'],780,106,150,70,194,120,140
196,151,Mew,['Psychic'],600,100,100,100,100,100,100
197,152,Chikorita,['Grass'],318,45,49,65,49,65,45
198,153,Bayleef,['Grass'],405,60,62,80,63,80,60
199,154,Meganium,['Grass'],525,80,82,100,83,100,80
200,155,Cyndaquil,['Fire'],309,39,52,43,60,50,65
201,156,Quilava,['Fire'],405,58,64,58,80,65,80
202,157,Typhlosion,['Fire'],534,78,84,78,109,85,100
203,158,Totodile,['Water'],314,50,65,64,44,48,43
204,159,Croconaw,['Water'],405,65,80,80,59,63,58
205,160,Feraligatr,['Water'],530,85,105,100,79,83,78
206,161,Sentret,['Normal'],215,35,46,34,35,45,20
207,162,Furret,['Normal'],415,85,76,64,45,55,90
208,163,Hoothoot,"['Normal', 'Flying']",262,60,30,30,36,56,50
209,164,Noctowl,"['Normal', 'Flying']",452,100,50,50,86,96,70
210,165,Ledyba,"['Bug', 'Flying']",265,40,20,30,40,80,55
211,166,Ledian,"['Bug', 'Flying']",390,55,35,50,55,110,85
212,167,Spinarak,"['Bug', 'Poison']",250,40,60,40,40,40,30
213,168,Ariados,"['Bug', 'Poison']",400,70,90,70,60,70,40
214,169,Crobat,"['Poison', 'Flying']",535,85,90,80,70,80,130
215,170,Chinchou,"['Water', 'Electric']",330,75,38,38,56,56,67
216,171,Lanturn,"['Water', 'Electric']",460,125,58,58,76,76,67
217,172,Pichu,['Electric'],205,20,40,15,35,35,60
218,173,Cleffa,['Fairy'],218,50,25,28,45,55,15
219,174,Igglybuff,"['Normal', 'Fairy']",210,90,30,15,40,20,15
220,175,Togepi,['Fairy'],245,35,20,65,40,65,20
221,176,Togetic,"['Fairy', 'Flying']",405,55,40,85,80,105,40
222,177,Natu,"['Psychic', 'Flying']",320,40,50,45,70,45,70
223,178,Xatu,"['Psychic', 'Flying']",470,65,75,70,95,70,95
224,179,Mareep,['Electric'],280,55,40,40,65,45,35
225,180,Flaaffy,['Electric'],365,70,55,55,80,60,45
226,181,Ampharos,['Electric'],510,90,75,85,115,90,55
227,181,Ampharos,"['Electric', 'Dragon']",610,90,95,105,165,110,45
228,182,Bellossom,['Grass'],490,75,80,95,90,100,50
229,183,Marill,"['Water', 'Fairy']",250,70,20,50,20,50,40
230,184,Azumarill,"['Water', 'Fairy']",420,100,50,80,60,80,50
231,185,Sudowoodo,['Rock'],410,70,100,115,30,65,30
232,186,Politoed,['Water'],500,90,75,75,90,100,70
233,187,Hoppip,"['Grass', 'Flying']",250,35,35,40,35,55,50
234,188,Skiploom,"['Grass', 'Flying']",340,55,45,50,45,65,80
235,189,Jumpluff,"['Grass', 'Flying']",460,75,55,70,55,95,110
236,190,Aipom,['Normal'],360,55,70,55,40,55,85
237,191,Sunkern,['Grass'],180,30,30,30,30,30,30
238,192,Sunflora,['Grass'],425,75,75,55,105,85,30
239,193,Yanma,"['Bug', 'Flying']",390,65,65,45,75,45,95
240,194,Wooper,"['Water', 'Ground']",210,55,45,45,25,25,15
241,195,Quagsire,"['Water', 'Ground']",430,95,85,85,65,65,35
242,196,Espeon,['Psychic'],525,65,65,60,130,95,110
243,197,Umbreon,['Dark'],525,95,65,110,60,130,65
244,198,Murkrow,"['Dark', 'Flying']",405,60,85,42,85,42,91
245,199,Slowking,"['Water', 'Psychic']",490,95,75,80,100,110,30
246,199,Slowking,"['Poison', 'Psychic']",490,95,65,80,110,110,30
247,200,Misdreavus,['Ghost'],435,60,60,60,85,85,85
248,201,Unown,['Psychic'],336,48,72,48,72,48,48
249,202,Wobbuffet,['Psychic'],405,190,33,58,33,58,33
250,203,Girafarig,"['Normal', 'Psychic']",455,70,80,65,90,65,85
251,204,Pineco,['Bug'],290,50,65,90,35,35,15
252,205,Forretress,"['Bug', 'Steel']",465,75,90,140,60,60,40
253,206,Dunsparce,['Normal'],415,100,70,70,65,65,45
254,207,Gligar,"['Ground', 'Flying']",430,65,75,105,35,65,85
255,208,Steelix,"['Steel', 'Ground']",510,75,85,200,55,65,30
256,208,Steelix,"['Steel', 'Ground']",610,75,125,230,55,95,30
257,209,Snubbull,['Fairy'],300,60,80,50,40,40,30
258,210,Granbull,['Fairy'],450,90,120,75,60,60,45
259,211,Qwilfish,"['Water', 'Poison']",440,65,95,85,55,55,85
260,212,Scizor,"['Bug', 'Steel']",500,70,130,100,55,80,65
261,212,Scizor,"['Bug', 'Steel']",600,70,150,140,65,100,75
262,213,Shuckle,"['Bug', 'Rock']",505,20,10,230,10,230,5
263,214,Heracross,"['Bug', 'Fighting']",500,80,125,75,40,95,85
264,214,Heracross,"['Bug', 'Fighting']",600,80,185,115,40,105,75
265,215,Sneasel,"['Dark', 'Ice']",430,55,95,55,35,75,115
266,216,Teddiursa,['Normal'],330,60,80,50,50,50,40
267,217,Ursaring,['Normal'],500,90,130,75,75,75,55
268,218,Slugma,['Fire'],250,40,40,40,70,40,20
269,219,Magcargo,"['Fire', 'Rock']",430,60,50,120,90,80,30
270,220,Swinub,"['Ice', 'Ground']",250,50,50,40,30,30,50
271,221,Piloswine,"['Ice', 'Ground']",450,100,100,80,60,60,50
272,222,Corsola,"['Water', 'Rock']",410,65,55,95,65,95,35
273,222,Corsola,['Ghost'],410,60,55,100,65,100,30
274,223,Remoraid,['Water'],300,35,65,35,65,35,65
275,224,Octillery,['Water'],480,75,105,75,105,75,45
276,225,Delibird,"['Ice', 'Flying']",330,45,55,45,65,45,75
277,226,Mantine,"['Water', 'Flying']",485,85,40,70,80,140,70
278,227,Skarmory,"['Steel', 'Flying']",465,65,80,140,40,70,70
279,228,Houndour,"['Dark', 'Fire']",330,45,60,30,80,50,65
280,229,Houndoom,"['Dark', 'Fire']",500,75,90,50,110,80,95
281,229,Houndoom,"['Dark', 'Fire']",600,75,90,90,140,90,115
282,230,Kingdra,"['Water', 'Dragon']",540,75,95,95,95,95,85
283,231,Phanpy,['Ground'],330,90,60,60,40,40,40
284,232,Donphan,['Ground'],500,90,120,120,60,60,50
285,233,Porygon2,['Normal'],515,85,80,90,105,95,60
286,234,Stantler,['Normal'],465,73,95,62,85,65,85
287,235,Smeargle,['Normal'],250,55,20,35,20,45,75
288,236,Tyrogue,['Fighting'],210,35,35,35,35,35,35
289,237,Hitmontop,['Fighting'],455,50,95,95,35,110,70
290,238,Smoochum,"['Ice', 'Psychic']",305,45,30,15,85,65,65
291,239,Elekid,['Electric'],360,45,63,37,65,55,95
292,240,Magby,['Fire'],365,45,75,37,70,55,83
293,241,Miltank,['Normal'],490,95,80,105,40,70,100
294,242,Blissey,['Normal'],540,255,10,10,75,135,55
295,243,Raikou,['Electric'],580,90,85,75,115,100,115
296,244,Entei,['Fire'],580,115,115,85,90,75,100
297,245,Suicune,['Water'],580,100,75,115,90,115,85
298,246,Larvitar,"['Rock', 'Ground']",300,50,64,50,45,50,41
299,247,Pupitar,"['Rock', 'Ground']",410,70,84,70,65,70,51
300,248,Tyranitar,"['Rock', 'Dark']",600,100,134,110,95,100,61
301,248,Tyranitar,"['Rock', 'Dark']",700,100,164,150,95,120,71
302,249,Lugia,"['Psychic', 'Flying']",680,106,90,130,90,154,110
303,250,Ho-oh,"['Fire', 'Flying']",680,106,130,90,110,154,90
304,251,Celebi,"['Psychic', 'Grass']",600,100,100,100,100,100,100
305,252,Treecko,['Grass'],310,40,45,35,65,55,70
306,253,Grovyle,['Grass'],405,50,65,45,85,65,95
307,254,Sceptile,['Grass'],530,70,85,65,105,85,120
308,254,Sceptile,"['Grass', 'Dragon']",630,70,110,75,145,85,145
309,255,Torchic,['Fire'],310,45,60,40,70,50,45
310,256,Combusken,"['Fire', 'Fighting']",405,60,85,60,85,60,55
311,257,Blaziken,"['Fire', 'Fighting']",530,80,120,70,110,70,80
312,257,Blaziken,"['Fire', 'Fighting']",630,80,160,80,130,80,100
313,258,Mudkip,['Water'],310,50,70,50,50,50,40
314,259,Marshtomp,"['Water', 'Ground']",405,70,85,70,60,70,50
315,260,Swampert,"['Water', 'Ground']",535,100,110,90,85,90,60
316,260,Swampert,"['Water', 'Ground']",635,100,150,110,95,110,70
317,261,Poochyena,['Dark'],220,35,55,35,30,30,35
318,262,Mightyena,['Dark'],420,70,90,70,60,60,70
319,263,Zigzagoon,['Normal'],240,38,30,41,30,41,60
320,263,Zigzagoon,"['Dark', 'Normal']",240,38,30,41,30,41,60
321,264,Linoone,['Normal'],420,78,70,61,50,61,100
322,264,Linoone,"['Dark', 'Normal']",420,78,70,61,50,61,100
323,265,Wurmple,['Bug'],195,45,45,35,20,30,20
324,266,Silcoon,['Bug'],205,50,35,55,25,25,15
325,267,Beautifly,"['Bug', 'Flying']",395,60,70,50,100,50,65
326,268,Cascoon,['Bug'],205,50,35,55,25,25,15
327,269,Dustox,"['Bug', 'Poison']",385,60,50,70,50,90,65
328,270,Lotad,"['Water', 'Grass']",220,40,30,30,40,50,30
329,271,Lombre,"['Water', 'Grass']",340,60,50,50,60,70,50
330,272,Ludicolo,"['Water', 'Grass']",480,80,70,70,90,100,70
331,273,Seedot,['Grass'],220,40,40,50,30,30,30
332,274,Nuzleaf,"['Grass', 'Dark']",340,70,70,40,60,40,60
333,275,Shiftry,"['Grass', 'Dark']",480,90,100,60,90,60,80
334,276,Taillow,"['Normal', 'Flying']",270,40,55,30,30,30,85
335,277,Swellow,"['Normal', 'Flying']",455,60,85,60,75,50,125
336,278,Wingull,"['Water', 'Flying']",270,40,30,30,55,30,85
337,279,Pelipper,"['Water', 'Flying']",440,60,50,100,95,70,65
338,280,Ralts,"['Psychic', 'Fairy']",198,28,25,25,45,35,40
339,281,Kirlia,"['Psychic', 'Fairy']",278,38,35,35,65,55,50
340,282,Gardevoir,"['Psychic', 'Fairy']",518,68,65,65,125,115,80
341,282,Gardevoir,"['Psychic', 'Fairy']",618,68,85,65,165,135,100
342,283,Surskit,"['Bug', 'Water']",269,40,30,32,50,52,65
343,284,Masquerain,"['Bug', 'Flying']",454,70,60,62,100,82,80
344,285,Shroomish,['Grass'],295,60,40,60,40,60,35
345,286,Breloom,"['Grass', 'Fighting']",460,60,130,80,60,60,70
346,287,Slakoth,['Normal'],280,60,60,60,35,35,30
347,288,Vigoroth,['Normal'],440,80,80,80,55,55,90
348,289,Slaking,['Normal'],670,150,160,100,95,65,100
349,290,Nincada,"['Bug', 'Ground']",266,31,45,90,30,30,40
350,291,Ninjask,"['Bug', 'Flying']",456,61,90,45,50,50,160
351,292,Shedinja,"['Bug', 'Ghost']",236,1,90,45,30,30,40
352,293,Whismur,['Normal'],240,64,51,23,51,23,28
353,294,Loudred,['Normal'],360,84,71,43,71,43,48
354,295,Exploud,['Normal'],490,104,91,63,91,73,68
355,296,Makuhita,['Fighting'],237,72,60,30,20,30,25
356,297,Hariyama,['Fighting'],474,144,120,60,40,60,50
357,298,Azurill,"['Normal', 'Fairy']",190,50,20,40,20,40,20
358,299,Nosepass,['Rock'],375,30,45,135,45,90,30
359,300,Skitty,['Normal'],260,50,45,45,35,35,50
360,301,Delcatty,['Normal'],400,70,65,65,55,55,90
361,302,Sableye,"['Dark', 'Ghost']",380,50,75,75,65,65,50
362,302,Sableye,"['Dark', 'Ghost']",480,50,85,125,85,115,20
363,303,Mawile,"['Steel', 'Fairy']",380,50,85,85,55,55,50
364,303,Mawile,"['Steel', 'Fairy']",480,50,105,125,55,95,50
365,304,Aron,"['Steel', 'Rock']",330,50,70,100,40,40,30
366,305,Lairon,"['Steel', 'Rock']",430,60,90,140,50,50,40
367,306,Aggron,"['Steel', 'Rock']",530,70,110,180,60,60,50
368,306,Aggron,['Steel'],630,70,140,230,60,80,50
369,307,Meditite,"['Fighting', 'Psychic']",280,30,40,55,40,55,60
370,308,Medicham,"['Fighting', 'Psychic']",410,60,60,75,60,75,80
371,308,Medicham,"['Fighting', 'Psychic']",510,60,100,85,80,85,100
372,309,Electrike,['Electric'],295,40,45,40,65,40,65
373,310,Manectric,['Electric'],475,70,75,60,105,60,105
374,310,Manectric,['Electric'],575,70,75,80,135,80,135
375,311,Plusle,['Electric'],405,60,50,40,85,75,95
376,312,Minun,['Electric'],405,60,40,50,75,85,95
377,313,Volbeat,['Bug'],430,65,73,75,47,85,85
378,314,Illumise,['Bug'],430,65,47,75,73,85,85
379,315,Roselia,"['Grass', 'Poison']",400,50,60,45,100,80,65
380,316,Gulpin,['Poison'],302,70,43,53,43,53,40
381,317,Swalot,['Poison'],467,100,73,83,73,83,55
382,318,Carvanha,"['Water', 'Dark']",305,45,90,20,65,20,65
383,319,Sharpedo,"['Water', 'Dark']",460,70,120,40,95,40,95
384,319,Sharpedo,"['Water', 'Dark']",560,70,140,70,110,65,105
385,320,Wailmer,['Water'],400,130,70,35,70,35,60
386,321,Wailord,['Water'],500,170,90,45,90,45,60
387,322,Numel,"['Fire', 'Ground']",305,60,60,40,65,45,35
388,323,Camerupt,"['Fire', 'Ground']",460,70,100,70,105,75,40
389,323,Camerupt,"['Fire', 'Ground']",560,70,120,100,145,105,20
390,324,Torkoal,['Fire'],470,70,85,140,85,70,20
391,325,Spoink,['Psychic'],330,60,25,35,70,80,60
392,326,Grumpig,['Psychic'],470,80,45,65,90,110,80
393,327,Spinda,['Normal'],360,60,60,60,60,60,60
394,328,Trapinch,['Ground'],290,45,100,45,45,45,10
395,329,Vibrava,"['Ground', 'Dragon']",340,50,70,50,50,50,70
396,330,Flygon,"['Ground', 'Dragon']",520,80,100,80,80,80,100
397,331,Cacnea,['Grass'],335,50,85,40,85,40,35
398,332,Cacturne,"['Grass', 'Dark']",475,70,115,60,115,60,55
399,333,Swablu,"['Normal', 'Flying']",310,45,40,60,40,75,50
400,334,Altaria,"['Dragon', 'Flying']",490,75,70,90,70,105,80
401,334,Altaria,"['Dragon', 'Fairy']",590,75,110,110,110,105,80
402,335,Zangoose,['Normal'],458,73,115,60,60,60,90
403,336,Seviper,['Poison'],458,73,100,60,100,60,65
404,337,Lunatone,"['Rock', 'Psychic']",460,90,55,65,95,85,70
405,338,Solrock,"['Rock', 'Psychic']",460,90,95,85,55,65,70
406,339,Barboach,"['Water', 'Ground']",288,50,48,43,46,41,60
407,340,Whiscash,"['Water', 'Ground']",468,110,78,73,76,71,60
408,341,Corphish,['Water'],308,43,80,65,50,35,35
409,342,Crawdaunt,"['Water', 'Dark']",468,63,120,85,90,55,55
410,343,Baltoy,"['Ground', 'Psychic']",300,40,40,55,40,70,55
411,344,Claydol,"['Ground', 'Psychic']",500,60,70,105,70,120,75
412,345,Lileep,"['Rock', 'Grass']",355,66,41,77,61,87,23
